"","L","X","V","L_3","X_3","V_3","Porcentaje 1","Porcentaje 2","Rank1","Rank2","Tendencia_L","Tendencia_V","Victoria"
"177",2,2,1,1,1,1,39,31,16,13,65,70,"1"
"178",0,1,0,0,1,0,56,20,6,20,40,65,"2"
"179",2,2,1,1,1,1,41,31,11,3,30,50,"2"
"180",2,1,2,1,1,1,40,31,5,4,55,80,"1"
"181",1,3,1,1,2,0,49,24,12,19,50,35,"1"
"182",1,1,1,1,1,1,26,44,20,3,15,70,"X"
"183",3,0,1,2,0,1,25,47,21,6,75,85,"X"
"184",1,1,1,1,1,1,41,33,1,2,30,70,"1"
"185",0,0,1,0,0,1,53,22,19,11,20,40,"X"
"186",2,1,0,2,1,0,54,20,7,6,75,90,"1"
"187",0,0,3,0,0,3,36,37,22,12,40,75,"2"
"188",2,0,1,2,0,1,44,29,9,17,90,40,"1"
"189",1,1,2,1,0,2,59,17,10,18,35,0,"1"
"190",1,1,3,1,1,1,39,31,14,13,15,50,"1"
"191",2,1,2,1,0,2,59,16,8,20,80,30,"1"
"192",1,2,2,0,1,2,50,25,2,5,40,70,"1"
"193",1,2,2,1,0,2,26,51,5,2,55,50,"X"
"194",1,3,1,1,1,1,44,26,18,16,35,70,"1"
"195",0,2,3,0,1,2,19,57,7,1,70,90,"2"
"196",1,1,3,1,1,1,45,27,14,13,30,35,"1"
"197",3,0,2,2,0,1,42,31,4,9,0,50,"1"
"198",2,2,1,1,1,1,36,35,11,8,50,50,"X"
"199",2,1,2,0,1,2,40,32,20,15,70,80,"2"
"200",1,3,1,1,1,1,45,27,10,17,35,30,"1"
"201",2,1,2,1,1,1,46,26,3,6,60,0,"1"
"202",1,1,1,1,1,1,38,29,7,2,55,75,"X"
"203",1,0,4,1,0,2,35,36,6,4,45,85,"2"
"204",1,1,3,1,0,2,31,39,14,3,30,60,"2"
"205",0,3,2,0,2,1,36,32,20,19,20,25,"1"
"206",0,0,1,0,0,1,29,46,12,1,40,80,"X"
"207",2,2,1,1,1,1,48,23,7,17,40,55,"1"
"208",2,1,2,2,1,0,31,37,13,8,80,35,"X"
"209",2,1,2,2,0,1,29,44,9,4,80,10,"2"
"210",0,2,3,0,0,3,16,65,5,1,90,100,"2"
"211",5,0,0,3,0,0,53,21,11,20,25,30,"2"
"212",1,3,1,1,1,1,65,15,2,6,90,90,"1"
"213",3,1,1,1,1,1,51,19,15,19,40,30,"X"
"214",3,0,2,2,0,1,43,27,14,18,45,30,"2"
"215",0,3,2,0,2,1,63,14,5,15,60,40,"1"
"216",5,0,0,3,0,0,43,29,12,1,25,70,"X"
"217",1,2,1,1,1,1,46,23,11,8,65,70,"1"
"218",0,3,2,0,1,2,49,23,7,10,70,80,"2"
"219",3,2,0,1,2,0,30,38,21,2,30,65,"2"
"220",3,2,0,3,0,0,54,19,3,6,30,70,"X"
"221",3,1,1,2,0,1,56,21,3,19,75,70,"1"
"222",1,0,4,0,0,3,55,20,12,4,55,50,"2"
"223",2,1,2,2,0,1,34,37,17,10,55,30,"2"
"224",1,0,4,1,0,2,21,55,9,1,55,100,"2"
"225",3,0,2,2,0,1,53,22,6,14,0,100,"1"
"226",0,3,2,0,2,1,49,22,7,11,40,75,"2"
"227",0,1,0,0,1,0,61,16,5,20,55,45,"1"
"228",1,0,4,1,0,2,21,54,13,2,25,55,"2"
"229",1,0,0,1,0,0,50,23,22,18,10,0,"X"
"230",0,1,4,0,1,2,65,15,4,10,90,100,"2"
"231",2,2,1,0,2,1,47,25,6,8,90,25,"2"
